Fecha,EURAUD
03/01/2000,1.5493
04/01/2000,1.5687
05/01/2000,1.5712
06/01/2000,1.573
07/01/2000,1.57
10/01/2000,1.562
11/01/2000,1.5677
12/01/2000,1.5658
13/01/2000,1.5377
14/01/2000,1.5235
17/01/2000,1.52455
18/01/2000,1.5213
19/01/2000,1.5265
20/01/2000,1.5266
21/01/2000,1.5232
24/01/2000,1.534
25/01/2000,1.5305
26/01/2000,1.53665
27/01/2000,1.5103
28/01/2000,1.5475
31/01/2000,1.5233
01/02/2000,1.5373
02/02/2000,1.54
03/02/2000,1.551
04/02/2000,1.5435
07/02/2000,1.5473
08/02/2000,1.56
09/02/2000,1.5605
10/02/2000,1.56945
11/02/2000,1.562
14/02/2000,1.5615
15/02/2000,1.5615
16/02/2000,1.562
17/02/2000,1.563
18/02/2000,1.5658
21/02/2000,1.57375
22/02/2000,1.6068
23/02/2000,1.6175
24/02/2000,1.6158
25/02/2000,1.582
28/02/2000,1.584
29/02/2000,1.5707
01/03/2000,1.606
02/03/2000,1.5905
03/03/2000,1.579
06/03/2000,1.5927
07/03/2000,1.5848
08/03/2000,1.5772
09/03/2000,1.5735
10/03/2000,1.5663
13/03/2000,1.5658
14/03/2000,1.5747
15/03/2000,1.5777
16/03/2000,1.5892
17/03/2000,1.6027
20/03/2000,1.6003
21/03/2000,1.5818
22/03/2000,1.5882
23/03/2000,1.6025
24/03/2000,1.6058
27/03/2000,1.5777
28/03/2000,1.5635
29/03/2000,1.557
30/03/2000,1.5685
31/03/2000,1.5737
03/04/2000,1.5747
04/04/2000,1.59905
05/04/2000,1.59105
06/04/2000,1.5888
07/04/2000,1.5942
10/04/2000,1.606
11/04/2000,1.608
12/04/2000,1.6042
13/04/2000,1.5962
14/04/2000,1.59925
17/04/2000,1.6083
18/04/2000,1.5935
19/04/2000,1.57655
20/04/2000,1.57875
24/04/2000,1.5765
25/04/2000,1.5527
26/04/2000,1.5683
27/04/2000,1.5455
28/04/2000,1.5548
02/05/2000,1.54395
03/05/2000,1.5118
04/05/2000,1.5067
05/05/2000,1.509
08/05/2000,1.5398
09/05/2000,1.553
10/05/2000,1.56305
