Fecha,EURGBP
03/01/2000,0.6263
04/01/2000,0.62995
05/01/2000,0.62835
06/01/2000,0.6259
07/01/2000,0.62825
10/01/2000,0.62625
11/01/2000,0.62725
12/01/2000,0.6255
13/01/2000,0.6229
14/01/2000,0.621
17/01/2000,0.6197
18/01/2000,0.61895
19/01/2000,0.6155
20/01/2000,0.6148
21/01/2000,0.61185
24/01/2000,0.60975
25/01/2000,0.60855
26/01/2000,0.6105
27/01/2000,0.60315
28/01/2000,0.6028
31/01/2000,0.6007
01/02/2000,0.6018
02/02/2000,0.6079
03/02/2000,0.6199
04/02/2000,0.61745
07/02/2000,0.614
08/02/2000,0.612
09/02/2000,0.6149
10/02/2000,0.6123
11/02/2000,0.6199
14/02/2000,0.6169
15/02/2000,0.617
16/02/2000,0.6134
17/02/2000,0.6145
18/02/2000,0.6162
21/02/2000,0.61725
22/02/2000,0.6233
23/02/2000,0.6253
24/02/2000,0.6206
25/02/2000,0.6108
28/02/2000,0.609
29/02/2000,0.6105
01/03/2000,0.6139
02/03/2000,0.6123
03/03/2000,0.6089
06/03/2000,0.6096
07/03/2000,0.6065
08/03/2000,0.6078
09/03/2000,0.6112
10/03/2000,0.6109
13/03/2000,0.61135
14/03/2000,0.61375
15/03/2000,0.61545
16/03/2000,0.6162
17/03/2000,0.61755
20/03/2000,0.62015
21/03/2000,0.6131
22/03/2000,0.6091
23/03/2000,0.612
24/03/2000,0.6132
27/03/2000,0.6089
28/03/2000,0.60605
29/03/2000,0.5965
30/03/2000,0.6023
31/03/2000,0.6004
03/04/2000,0.59935
04/04/2000,0.6023
05/04/2000,0.6075
06/04/2000,0.6059
07/04/2000,0.6052
10/04/2000,0.6064
11/04/2000,0.605
12/04/2000,0.6036
13/04/2000,0.6
14/04/2000,0.60365
17/04/2000,0.6026
18/04/2000,0.6
19/04/2000,0.5939
20/04/2000,0.5938
24/04/2000,0.5957
25/04/2000,0.5823
26/04/2000,0.5865
27/04/2000,0.5777
28/04/2000,0.5863
02/05/2000,0.58295
03/05/2000,0.5734
04/05/2000,0.5773
05/05/2000,0.587
08/05/2000,0.58495
09/05/2000,0.5928
10/05/2000,0.60105
11/05/2000,0.599
12/05/2000,0.6062
15/05/2000,0.6054
16/05/2000,0.603
17/05/2000,0.59935
18/05/2000,0.6035
19/05/2000,0.6035
22/05/2000,0.6054
23/05/2000,0.6136
24/05/2000,0.6126
25/05/2000,0.6198
26/05/2000,0.6248
29/05/2000,0.6223
30/05/2000,0.6213
31/05/2000,0.6242
01/06/2000,0.6235
02/06/2000,0.6269
05/06/2000,0.62455
06/06/2000,0.62435
07/06/2000,0.63175
08/06/2000,0.63315
09/06/2000,0.63155
12/06/2000,0.6303
13/06/2000,0.6369
14/06/2000,0.639
15/06/2000,0.631
16/06/2000,0.6352
20/06/2000,0.6289
21/06/2000,0.6306
23/06/2000,0.6242
27/06/2000,0.62905
28/06/2000,0.6231
29/06/2000,0.6266
30/06/2000,0.6278
03/07/2000,0.6285
04/07/2000,0.62765
05/07/2000,0.6317
06/07/2000,0.6306
07/07/2000,0.6259
10/07/2000,0.6309
11/07/2000,0.6278
12/07/2000,0.6256
13/07/2000,0.6233
14/07/2000,0.6254
17/07/2000,0.6265
19/07/2000,0.6162
20/07/2000,0.6174
21/07/2000,0.6161
24/07/2000,0.6155
25/07/2000,0.61895
26/07/2000,0.6226
27/07/2000,0.6156
31/07/2000,0.61785
02/08/2000,0.61165
03/08/2000,0.60575
04/08/2000,0.60335
07/08/2000,0.60075
08/08/2000,0.59965
09/08/2000,0.5993
10/08/2000,0.6066
11/08/2000,0.60155
14/08/2000,0.6017
16/08/2000,0.6107
17/08/2000,0.6119
18/08/2000,0.6083
21/08/2000,0.6065
23/08/2000,0.6061
24/08/2000,0.6087
25/08/2000,0.6137
28/08/2000,0.6124
29/08/2000,0.6126
30/08/2000,0.6131
31/08/2000,0.6137
01/09/2000,0.6145
04/09/2000,0.6154
05/09/2000,0.6115
06/09/2000,0.6053
07/09/2000,0.6065
08/09/2000,0.6127
11/09/2000,0.6119
12/09/2000,0.614
13/09/2000,0.6096
14/09/2000,0.6145
15/09/2000,0.61
18/09/2000,0.6073
20/09/2000,0.6018
21/09/2000,0.5989
22/09/2000,0.6028
25/09/2000,0.6023
26/09/2000,0.603
27/09/2000,0.6032
28/09/2000,0.6015
29/09/2000,0.5986
02/10/2000,0.5985
03/10/2000,0.6
04/10/2000,0.5997
05/10/2000,0.6021
06/10/2000,0.6003
09/10/2000,0.5987
10/10/2000,0.599
11/10/2000,0.5924
12/10/2000,0.5863
13/10/2000,0.59
16/10/2000,0.5871
17/10/2000,0.5889
18/10/2000,0.5811
19/10/2000,0.58295
20/10/2000,0.58005
23/10/2000,0.5748
24/10/2000,0.5763
25/10/2000,0.5777
27/10/2000,0.5768
30/10/2000,0.5795
31/10/2000,0.586
01/11/2000,0.5935
02/11/2000,0.59445
03/11/2000,0.5983
06/11/2000,0.6035
07/11/2000,0.6001
08/11/2000,0.60085
09/11/2000,0.6051
10/11/2000,0.6034
13/11/2000,0.5976
14/11/2000,0.59965
15/11/2000,0.6007
16/11/2000,0.5985
17/11/2000,0.5961
20/11/2000,0.5986
21/11/2000,0.5944
22/11/2000,0.5999
23/11/2000,0.5997
24/11/2000,0.5992
27/11/2000,0.601
28/11/2000,0.6049
29/11/2000,0.6028
30/11/2000,0.6115
01/12/2000,0.6091
04/12/2000,0.6114
05/12/2000,0.6141
06/12/2000,0.61785
07/12/2000,0.6156
08/12/2000,0.61265
11/12/2000,0.6018
12/12/2000,0.6071
13/12/2000,0.60245
14/12/2000,0.6048
15/12/2000,0.6073
18/12/2000,0.6064
19/12/2000,0.6093
20/12/2000,0.6155
21/12/2000,0.6217
22/12/2000,0.6251
25/12/2000,0.6249
26/12/2000,0.6278
27/12/2000,0.6216
28/12/2000,0.62245
29/12/2000,0.6302
02/01/2001,0.633
03/01/2001,0.623
04/01/2001,0.6323
05/01/2001,0.6374
08/01/2001,0.6334
09/01/2001,0.6345
10/01/2001,0.6298
11/01/2001,0.6362
12/01/2001,0.6442
15/01/2001,0.6378
16/01/2001,0.6399
17/01/2001,0.63505
18/01/2001,0.6407
19/01/2001,0.6382
22/01/2001,0.6411
23/01/2001,0.6382
24/01/2001,0.6341
25/01/2001,0.6323
26/01/2001,0.6326
29/01/2001,0.6288
30/01/2001,0.6334
31/01/2001,0.6399
01/02/2001,0.6356
02/02/2001,0.6367
05/02/2001,0.6363
06/02/2001,0.6373
07/02/2001,0.6393
08/02/2001,0.6359
09/02/2001,0.6406
12/02/2001,0.641
13/02/2001,0.6335
14/02/2001,0.6306
15/02/2001,0.6239
16/02/2001,0.6323
19/02/2001,0.6368
20/02/2001,0.63035
21/02/2001,0.6301
22/02/2001,0.6253
23/02/2001,0.63135
26/02/2001,0.6304
27/02/2001,0.636
28/02/2001,0.6392
01/03/2001,0.6392
02/03/2001,0.63525
05/03/2001,0.63325
06/03/2001,0.6382
07/03/2001,0.6364
08/03/2001,0.6346
09/03/2001,0.6347
12/03/2001,0.6345
13/03/2001,0.6307
14/03/2001,0.6299
15/03/2001,0.626
16/03/2001,0.6277
19/03/2001,0.6302
20/03/2001,0.63285
21/03/2001,0.626
22/03/2001,0.6246
23/03/2001,0.6248
26/03/2001,0.6245
27/03/2001,0.6233
28/03/2001,0.61625
29/03/2001,0.6187
30/03/2001,0.6198
02/04/2001,0.6201
03/04/2001,0.6267
04/04/2001,0.62905
