Fecha,EURJPY
03/01/2000,104.125
04/01/2000,106.45
05/01/2000,107.62
06/01/2000,108.75
07/01/2000,108.4
10/01/2000,107.85
11/01/2000,109.615
12/01/2000,109.25
13/01/2000,108.79
14/01/2000,107.16
17/01/2000,106.01
18/01/2000,107.1
19/01/2000,106.9
20/01/2000,107.15
21/01/2000,105.72
24/01/2000,106.35
25/01/2000,106.08
26/01/2000,105.85
27/01/2000,103.92
28/01/2000,104.33
31/01/2000,104
01/02/2000,104.58
02/02/2000,105.6
03/02/2000,106.6
04/02/2000,105.275
07/02/2000,106.59
08/02/2000,107.83
09/02/2000,108.3
10/02/2000,107.65
11/02/2000,107.32
14/02/2000,106.615
15/02/2000,107.15
16/02/2000,107.92
17/02/2000,109.32
18/02/2000,109.29
21/02/2000,109.915
22/02/2000,111.25
23/02/2000,111.41
24/02/2000,110.39
25/02/2000,107.5
28/02/2000,106.4
29/02/2000,106.44
01/03/2000,104.32
02/03/2000,103.79
03/03/2000,103.44
06/03/2000,103.35
07/03/2000,101.81
08/03/2000,103.02
09/03/2000,103.1
10/03/2000,102.28
13/03/2000,101.92
14/03/2000,101.75
15/03/2000,101.77
16/03/2000,102.53
17/03/2000,103.67
20/03/2000,103.47
21/03/2000,103.04
22/03/2000,102.5
23/03/2000,104.39
24/03/2000,104.45
27/03/2000,103.02
28/03/2000,101.72
29/03/2000,100.7
30/03/2000,101.14
31/03/2000,98.225
03/04/2000,100.355
04/04/2000,101.2
05/04/2000,100.88
06/04/2000,100.53
07/04/2000,100.61
10/04/2000,102.46
11/04/2000,102.55
12/04/2000,101.44
13/04/2000,100.78
14/04/2000,100.81
17/04/2000,99.43
18/04/2000,99.28
19/04/2000,98.4
20/04/2000,98.8
24/04/2000,99.08
25/04/2000,97.94
26/04/2000,98.09
27/04/2000,96.73
28/04/2000,98.365
02/05/2000,98.665
03/05/2000,97.67
04/05/2000,96.19
05/05/2000,97.34
08/05/2000,97.88
09/05/2000,99.15
10/05/2000,99.56
