Fecha,EURBRL
03/01/2000,1.86815
04/01/2000,1.9066
05/01/2000,1.8962
06/01/2000,1.90065
07/01/2000,1.8808
10/01/2000,1.86055
11/01/2000,1.88315
12/01/2000,1.88555
13/01/2000,1.8581
14/01/2000,1.8279
17/01/2000,1.81405
18/01/2000,1.81585
19/01/2000,1.8136
20/01/2000,1.81415
21/01/2000,1.78875
24/01/2000,1.78485
25/01/2000,1.77765
26/01/2000,1.7802
27/01/2000,1.75845
28/01/2000,1.74935
31/01/2000,1.72975
01/02/2000,1.739
02/02/2000,1.74245
03/02/2000,1.76695
04/02/2000,1.7377
07/02/2000,1.7349
08/02/2000,1.73985
09/02/2000,1.75735
10/02/2000,1.73985
11/02/2000,1.7493
14/02/2000,1.73525
15/02/2000,1.74355
16/02/2000,1.75055
17/02/2000,1.75115
18/02/2000,1.7539
21/02/2000,1.7557
22/02/2000,1.79265
23/02/2000,1.78875
24/02/2000,1.76485
25/02/2000,1.7282
28/02/2000,1.7267
29/02/2000,1.7053
01/03/2000,1.7154
02/03/2000,1.69445
03/03/2000,1.675
06/03/2000,1.6746
07/03/2000,1.67515
08/03/2000,1.67285
09/03/2000,1.68415
10/03/2000,1.68
13/03/2000,1.68245
14/03/2000,1.68225
15/03/2000,1.6835
16/03/2000,1.6887
17/03/2000,1.6904
20/03/2000,1.691
21/03/2000,1.67175
22/03/2000,1.662
23/03/2000,1.6715
24/03/2000,1.69365
27/03/2000,1.69095
28/03/2000,1.6737
29/03/2000,1.6597
30/03/2000,1.6909
31/03/2000,1.65845
03/04/2000,1.6637
04/04/2000,1.67635
05/04/2000,1.6831
06/04/2000,1.6725
07/04/2000,1.662
10/04/2000,1.6774
11/04/2000,1.6715
12/04/2000,1.6827
13/04/2000,1.6962
14/04/2000,1.7186
17/04/2000,1.691
18/04/2000,1.6657
19/04/2000,1.66985
20/04/2000,1.66665
24/04/2000,1.6819
25/04/2000,1.647
26/04/2000,1.66445
27/04/2000,1.64245
28/04/2000,1.64635
02/05/2000,1.64095
03/05/2000,1.6263
04/05/2000,1.61345
05/05/2000,1.614
08/05/2000,1.62115
09/05/2000,1.64355
10/05/2000,1.6504
11/05/2000,1.6458
12/05/2000,1.68905
15/05/2000,1.66265
