Fecha,EURCAD
03/01/2000,1.48005
04/01/2000,1.4979
05/01/2000,1.4955
06/01/2000,1.507
07/01/2000,1.4986
10/01/2000,1.4926
11/01/2000,1.506
12/01/2000,1.4996
13/01/2000,1.48725
14/01/2000,1.4687
17/01/2000,1.4665
18/01/2000,1.4696
19/01/2000,1.4693
20/01/2000,1.4726
21/01/2000,1.45335
24/01/2000,1.4525
25/01/2000,1.4381
26/01/2000,1.44015
27/01/2000,1.4186
28/01/2000,1.4094
31/01/2000,1.4018
01/02/2000,1.4078
02/02/2000,1.4045
03/02/2000,1.4278
04/02/2000,1.4156
07/02/2000,1.42
08/02/2000,1.42415
09/02/2000,1.436
10/02/2000,1.4274
11/02/2000,1.4292
14/02/2000,1.4261
15/02/2000,1.4255
16/02/2000,1.43355
17/02/2000,1.4334
18/02/2000,1.4315
21/02/2000,1.4372
22/02/2000,1.4673
23/02/2000,1.4648
24/02/2000,1.4451
25/02/2000,1.4101
28/02/2000,1.408
29/02/2000,1.3971
01/03/2000,1.4105
02/03/2000,1.4042
03/03/2000,1.3936
06/03/2000,1.3933
07/03/2000,1.3965
08/03/2000,1.4003
09/03/2000,1.4084
10/03/2000,1.4039
13/03/2000,1.4086
14/03/2000,1.4184
15/03/2000,1.4191
16/03/2000,1.4301
17/03/2000,1.4304
20/03/2000,1.4299
21/03/2000,1.4169
22/03/2000,1.4128
23/03/2000,1.4282
24/03/2000,1.4288
27/03/2000,1.4092
28/03/2000,1.3958
29/03/2000,1.3861
30/03/2000,1.3974
31/03/2000,1.3854
03/04/2000,1.388
04/04/2000,1.39395
05/04/2000,1.3968
06/04/2000,1.3912
07/04/2000,1.392
10/04/2000,1.4081
11/04/2000,1.4031
12/04/2000,1.4035
13/04/2000,1.4013
14/04/2000,1.4206
17/04/2000,1.413
18/04/2000,1.4
19/04/2000,1.3883
20/04/2000,1.3827
24/04/2000,1.3858
25/04/2000,1.3522
26/04/2000,1.3618
27/04/2000,1.3427
28/04/2000,1.3487
02/05/2000,1.352
03/05/2000,1.3374
04/05/2000,1.331
05/05/2000,1.3362
08/05/2000,1.3388
09/05/2000,1.352
10/05/2000,1.35265
11/05/2000,1.341
12/05/2000,1.3663
15/05/2000,1.3553
16/05/2000,1.34005
17/05/2000,1.3408
18/05/2000,1.3414
19/05/2000,1.3468
22/05/2000,1.3519
23/05/2000,1.3675
24/05/2000,1.36325
25/05/2000,1.371
26/05/2000,1.3992
29/05/2000,1.3906
30/05/2000,1.3996
31/05/2000,1.4041
01/06/2000,1.3881
02/06/2000,1.3981
05/06/2000,1.4034
06/06/2000,1.4106
07/06/2000,1.4226
08/06/2000,1.412
09/06/2000,1.4042
12/06/2000,1.4077
13/06/2000,1.4094
