Fecha,EURCHF
03/01/2000,1.6047
04/01/2000,1.6039
05/01/2000,1.60425
06/01/2000,1.60425
07/01/2000,1.60945
10/01/2000,1.60955
11/01/2000,1.61045
12/01/2000,1.611
13/01/2000,1.61235
14/01/2000,1.6141
17/01/2000,1.61485
18/01/2000,1.61315
19/01/2000,1.61405
20/01/2000,1.61085
21/01/2000,1.61075
24/01/2000,1.61145
25/01/2000,1.61265
26/01/2000,1.61225
27/01/2000,1.61325
28/01/2000,1.60985
31/01/2000,1.60835
01/02/2000,1.61035
02/02/2000,1.61135
03/02/2000,1.6081
04/02/2000,1.60635
07/02/2000,1.60615
08/02/2000,1.60685
09/02/2000,1.60825
10/02/2000,1.60595
11/02/2000,1.60455
14/02/2000,1.6076
15/02/2000,1.6058
16/02/2000,1.60375
17/02/2000,1.60405
18/02/2000,1.60345
21/02/2000,1.60275
22/02/2000,1.60825
23/02/2000,1.61155
24/02/2000,1.60885
25/02/2000,1.60835
28/02/2000,1.60665
29/02/2000,1.60625
01/03/2000,1.60715
02/03/2000,1.60645
03/03/2000,1.60675
06/03/2000,1.60795
07/03/2000,1.60745
08/03/2000,1.60655
09/03/2000,1.60755
10/03/2000,1.60885
13/03/2000,1.61085
14/03/2000,1.61185
15/03/2000,1.61235
16/03/2000,1.61235
17/03/2000,1.61175
20/03/2000,1.61195
21/03/2000,1.61195
22/03/2000,1.60855
23/03/2000,1.59875
24/03/2000,1.58735
27/03/2000,1.58795
28/03/2000,1.59095
29/03/2000,1.59385
30/03/2000,1.59295
31/03/2000,1.58975
03/04/2000,1.58135
04/04/2000,1.57585
05/04/2000,1.57505
06/04/2000,1.57115
07/04/2000,1.56985
10/04/2000,1.57335
11/04/2000,1.57355
12/04/2000,1.57455
13/04/2000,1.57245
14/04/2000,1.57055
17/04/2000,1.57085
18/04/2000,1.57565
19/04/2000,1.56965
20/04/2000,1.57205
24/04/2000,1.57195
25/04/2000,1.57255
26/04/2000,1.57275
27/04/2000,1.57145
28/04/2000,1.56495
02/05/2000,1.55945
03/05/2000,1.54365
04/05/2000,1.54875
05/05/2000,1.55365
08/05/2000,1.55005
09/05/2000,1.55715
10/05/2000,1.55835
11/05/2000,1.55695
12/05/2000,1.55345
15/05/2000,1.55595
16/05/2000,1.55075
17/05/2000,1.55285
18/05/2000,1.55505
